t,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,cmd_thrust,roll_rad,pitch_rad,yaw_rad,alt_m,servo1,servo2,servo3,servo4
19.342,0.000,0.000,0.000,0.550,0.000060,0.000224,0.000308,12.644,596.720,1593,1593,1593,1593
19.383,0.000,0.000,0.000,0.550,0.000077,0.000235,0.000310,12.669,596.740,1593,1592,1592,1593
19.424,0.000,0.000,0.000,0.550,0.000056,0.000227,0.000315,12.669,596.740,1593,1592,1592,1593
19.465,0.000,0.000,0.000,0.550,0.000029,0.000201,0.000324,12.695,596.770,1593,1593,1593,1592
19.505,0.000,0.000,0.000,0.550,0.000029,0.000201,0.000324,12.695,596.770,1593,1593,1593,1592
19.546,0.000,0.000,0.000,0.550,0.000024,0.000209,0.000318,12.695,596.770,1593,1593,1593,1592
19.588,0.000,0.000,0.000,0.550,0.000016,0.000228,0.000316,12.720,596.800,1592,1593,1593,1593
19.628,0.000,0.000,0.000,0.550,0.000025,0.000226,0.000319,12.720,596.800,1592,1593,1593,1593
19.670,0.000,0.000,0.000,0.550,0.000021,0.000243,0.000323,12.744,596.820,1593,1593,1592,1593
19.711,0.000,0.000,0.000,0.550,0.000021,0.000243,0.000323,12.744,596.820,1593,1593,1592,1593
19.751,0.000,0.000,0.000,0.550,-0.000024,0.000231,0.000322,12.744,596.820,1593,1593,1592,1593
19.793,0.000,0.000,0.000,0.550,-0.000087,0.000213,0.000338,12.769,596.840,1593,1593,1593,1593
19.834,0.000,0.000,0.000,0.550,-0.000110,0.000176,0.000365,12.769,596.840,1593,1593,1593,1593
19.875,0.000,0.000,0.000,0.550,-0.000089,0.000162,0.000390,12.794,596.870,1593,1592,1593,1592
19.915,0.000,0.000,0.000,0.550,-0.000089,0.000162,0.000390,12.794,596.870,1593,1592,1593,1592
19.956,0.000,0.000,0.000,0.550,-0.000088,0.000211,0.000388,12.794,596.870,1593,1592,1593,1592
19.998,0.000,0.000,0.000,0.550,-0.000088,0.000223,0.000376,12.819,596.890,1593,1593,1593,1593
